9408|Yellow Submarine|George Dunning|Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy|Nov 13, 1968|Jun 5, 2012||G (nothing objectionable)|87|Independent Pictures|Erich Segal, Al Brodax, Lee Minoff, Jack Mendelsohn|Yellow Submarine is an animated meandering journey filled with puns and dry British humor, where psychedelic music videos take precedent over any linear story. What little there is of a plot, however, concerns a vibrantly colored place called Pepperland that resembles the album cover for Sgt. Peppers Lonely Hearts Club Band come to life. The swirling animation is a mixture of pop-culture images and modern artistic styles brought loosely together with a naïve antiwar message and some clever political commentary. The Blue Meanies take over Pepperland, draining it of all its color and music, firing anti-music missiles, bonking people with green apples, and turning the inhabitants to stone by way of the pointed finger of a giant white glove. As the only survivor, the Lord Admiral escapes in the yellow submarine and goes to London to enlist the help of the Beatles (voiced by actors). The charming and innocent boys travel through strange worlds and meet bizarre characters, including the tagalong Nowhere Man. Several blissed-filled musical sequences and drug references later, the Beatles drive out the Blue Meanies and restore Pepperland to tranquility armed with only music, love, and witty remarks. ~ Andrea LeVasseur, Rovi|7.9/10|59|57|2|7.2/10|11|10|1|3.6/5|47,721
771303158|Jannat 2|Kunal Deshmukh|Mystery & Suspense, Romance|May 4, 2012|Jun 19, 2012||R (for some violence)|150|20th Century Fox|Shagufta Rafique|Charismatic gun-runner Sonu (Emraan Hashmi) goes undercover for renegade cop Pratap (Randeep Hooda), and falls for a pretty doctor named Jhanvi (Esha Gupta) while working his way up the ladder of the treacherous black-market weapons trade. ~ Jason Buchanan, Rovi|4.3/10|5|0|5|||||3.1/5|308
771267756|Best Laid Plans|David Blair|Drama||Jun 26, 2012||NR|108|Well Go USA|Chris Green|Two men, a unique friendship, a violent world. Danny is a scruffy small-time chancer, small in stature, but with a sharp eye for a scam. Joseph is a giant of a man, but with the mental age of a seven-year-old and gentle as a lamb despite his extraordinary strength. Living together in their inner-city flat, this odd-couple are opposites who can't live without each other: they pull petty thefts, go fishing and drink beer. They've been friends for years - but their relationship is about to be pushed to the limit.Danny owes 10 grand in cocaine to local crime kingpin Curtis, who wants the money or the gear. Danny doesn't have either so to pay off his drug-debt, Danny is left with just one option: to drag Joseph into the terrifying underworld of bare-knuckle boxing. In this harsh, emotional drama of bleeding hearts and faces, will Danny and Joseph survive?|4.4/10|6|3|3|||||3/5|133
771265646|Keyhole|Guy Maddin|Art House & International, Drama, Mystery & Suspense|Apr 6, 2012|Jun 18, 2012|$22,099|R (for graphic nudity, sexuality, violent content and some language)|93|Monterey Media|Guy Maddin, George Toles|After a long absence, gangster and father Ulysses Pick (Jason Patric) arrives home to a house haunted with memories, towing the body of a teenaged girl and a bound and gagged young man. His gang waits inside his house, having shot their way past police. There is friction in the ranks. Ulysses, however, is focused on one thing: journeying through the house, room by room, and reaching his wife Hyacinth (Isabella Rossellini) in her bedroom upstairs. The equilibrium of the house has been disturbed and his odyssey eventually becomes an emotional tour, as the ghostly nooks and crannies of the house reveal more about the mysterious Pick family. -- (C) Official Site|6.1/10|39|26|13|6.5/10|18|13|5|2.8/5|460
771255568|The Decoy Bride|Sheree Folkson|Art House & International, Comedy, Drama, Romance|Mar 9, 2012|Jun 26, 2012|$542|PG (for some rude content)|89|IFC Films|Sally Phillips, Neil Jaworski|When the wedding of internationally famous film star Lara Tyler (Alice Eve) to tweedy English author James Arber (David Tennant) is sabotaged by a paparazzo, they decide to relocate the event to the one place where the world's press won't find them: the sleepy Island of Hegg, as featured in James' bestselling novel The Ornithologists Wife. However, dilapidated buildings and greedy islanders are the least of the problems that the wedding party and their Hollywood entourage have to deal with, as Marco (Federico Castelluccio) the ingenious paparazzo tracks them down in his mission to photograph the celebrity wedding of the year. Steve and his assistant Emma (Sally Phillips) must find a decoy bride and think that local girl Katie (Kelly MacDonald) will be an ideal replacement. But when Katie meets James, sparks fly, dresses get ruined and love gets complicated. -- (C) IFC|4/10|22|5|17|4.1/10|7|2|5|3.3/5|1,677
771254130|My Reincarnation|Jennifer Fox|Action & Adventure, Art House & International, Documentary, Special Interest|Oct 28, 2011|Jun 19, 2012|$92,674|NR|100|Long Shot Factory|Jennifer Fox|Filmed over twenty years by acclaimed documentarian Jennifer Fox, My Reincarnation chronicles the epic story of the high Tibetan Buddhist Master, Chögyal Namkhai Norbu, and his western-born son, Yeshi. The film follows Namkhai Norbu's rise to greatness as a Buddhist teacher in the West, while his son, Yeshi, recognized at birth as the reincarnation of a famous spiritual master, breaks away from his father's tradition to embrace the modern world. Can the father convince his son to keep the family's threatened spiritual legacy alive? Never before has a high Tibetan Master allowed such complete access to his private life and it is doubtful that another ever will. -- (C) Long Shot Factory|6.7/10|15|11|4|5.7/10|7|4|3|3.4/5|296
771253553|Rundskop (Bullhead)|Michaël R. Roskam, Michael A. Roskam|Art House & International, Drama|Feb 17, 2012|Jun 26, 2012|$73,567|R|124|Drafthouse Films|Michael A. Roskam, Michaël R. Roskam|Domineering cattle farmer Jacky Vanmarsenille (Matthias Schoenaerts), constantly pumped on steroids and hormones, initiates a shady deal with a notorious mafioso meat trader. When an investigating federal agent is assassinated and a woman from his traumatic past resurfaces, Jacky must confront his demons and face the far-reaching consequences of his decisions. -- (C) Drafthouse Films|7/10|71|61|10|7.1/10|21|17|4|3.8/5|3,863
771249767|In Darkness|Agnieszka Holland|Drama|Feb 10, 2012|Jun 12, 2012|$1,038,733|R (for violence, disturbing images, sexuality, nudity and language)|145|Sony Pictures|David F. Shamoon|From acclaimed director Agnieszka Holland, In Darkness is based on a true story. Leopold Socha, a sewer worker and petty thief in Lvov, a Nazi occupied city in Poland, one day encounters a group of Jews trying to escape the liquidation of the ghetto. He hides them for money in the labyrinth of the town's sewers beneath the bustling activity of the city above. What starts out as a straightforward and cynical business arrangement turns into something very unexpected, the unlikely alliance between Socha and the Jews as the enterprise seeps deeper into Socha's conscience. The film is also an extraordinary story of survival as these men, women and children all try to outwit certain death during 14 months of ever increasing and intense danger. -- (C) Sony Pictures Classics|7.6/10|109|96|13|7.9/10|33|29|4|3.9/5|11,039
771249668|The Big Fix|Josh Tickell, Joshua Tickell, Rebecca Harrell|Documentary, Special Interest|Nov 11, 2011|Jun 19, 2012||NR|112|Green Planet Productions|Johnny O'Hara|On April 22, 2010 the Deepwater Horizon offshore drilling rig run by BP sunk into the Gulf of Mexico creating the worst oil spill in history. Until the oil well was killed on September 19, 779,037,744 liters of crude oil and over 7,000,000 liters of chemical dispersant spread into the sea. By exposing the root causes of the spill filmmakers Josh and Rebecca Tickell uncover a vast network of corruption. The Big Fix is a damning indictment of a system of government led by a powerful and secretive oligarchy that puts the pursuit of profit over all other human and environmental needs. -- (C) Official Site|6/10|7|6|1|6.5/10|5|5|0|4.3/5|242
771249555|Jeff Who Lives at Home|Mark Duplass, Jay Duplass|Comedy|Mar 16, 2012|Jun 19, 2012|$4,244,155|R (for language including sexual references and some drug use)|83|Paramount Vantage|Jay Duplass, Mark Duplass|On his way to the store to buy wood glue, Jeff looks for signs from the universe to determine his path. However, a series of comedic and unexpected events leads him to cross paths with his family in the strangest of locations and circumstances. Jeff just may find the meaning of his life...and if he's lucky, pick up the wood glue as well. -- (C) Paramount Vantage|6.8/10|139|107|32|6.7/10|33|25|8|3.4/5|44,965
771246188|Just Do It: A Tale of Modern-day Outlaws|Emily James|Art House & International, Documentary, Special Interest|Jul 15, 2011|Jun 19, 2012||NR|90|Syndicado||Just Do It lifts the lid on climate activism and the daring troublemakers who have crossed the line to become modern-day outlaws. Documented over a year, Emily James' film follows these activists as they blockade factories, attack coal power stations and glue themselves to the trading floors of international banks despite the very real threat of arrest. -- (C) Official Site|5.9/10|13|10|3|||||3/5|88
771244766|Farmageddon|Kristin Canty|Documentary, Special Interest|Jun 24, 2011|Jun 22, 2012|$33,320|G|86|Kristin Marie Productions|Kristin Canty|Farmageddon is the story of a mom whose son healed from all allergies and asthma after consuming raw milk, and real food from farms. It depicts people all over the country who formed food co-ops and private clubs to get these foods, and how they were raided by state and local governments. -- (C) Official Site|5.8/10|13|7|6|5.9/10|8|5|3|4.1/5|310
