771437715|War on Everyone|John Michael McDonagh|Art House & International, Comedy|Feb 3, 2017|Apr 11, 2017|R (for violence, sexuality/nudity, drug use and pervasive language)|90|Saban Films|John Michael McDonagh|TERRY (Alexander Skarsgård) and BOB (Michael Peña)are two crooked cops who frame and blackmail criminals all over town. Looking for the ultimate pay-off, they try to extort a strip-club manager (Caleb Landry Jones) and his eccentric, junkie boss, (Theo James), but get more than they bargained for when their hair-brained scheme uncovers a bigger, darker secret.|5.6/10|82|49|33|4.9/10|13|6|7|2.8/5|3,459
771438232|Office Christmas Party|Will Speck, Josh Gordon|Comedy|Dec 9, 2016|Apr 4, 2017|R (for crude sexual content and language throughout, drug use and graphic nudity)||Paramount Pictures|Justin Malen, Laura Solon, Jon Lucas, Dan Mazer|In OFFICE CHRISTMAS PARTY, when the CEO (Jennifer Aniston) tries to close her hard-partying brother's branch, he (T.J. Miller) and his Chief Technical Officer (Jason Bateman) must rally their co-workers and host an epic office Christmas party in an effort to impress a potential client and close a sale that will save their jobs. The latest comedy from directors Josh Gordon and Will Speck (BLADES OF GLORY) co-stars Kate McKinnon, Olivia Munn, Jillian Bell, Rob Corddry, Vanessa Bayer, Randall Park, Sam Richardson, Jamie Chung, and Courtney B. Vance in the funniest movie of the holiday season.|4.9/10|176|72|104|4.5/10|31|9|22|3.1/5|21,707
771438816|Lion|Garth Davis|Drama|Nov 25, 2016|Apr 11, 2017|PG-13 (for thematic material and some sensuality)|120|See-Saw Films|Luke Davies|Five-year-old Saroo gets lost on a train which takes him thousands of Kilometers across India, away from home and family. Saroo must learn to survive alone in Kolkata, before ultimately being adopted by an Australian couple. Twenty-five years later, armed with only a handful of memories, his unwavering determination, and a revolutionary technology known as Google Earth, he sets out to find his lost family and finally return to his first home.|7.3/10|251|213|38|7.6/10|43|36|7|4.3/5|39,398
771440535|Hidden Figures|Ted Melfi|Drama|Jan 6, 2017|Apr 11, 2017|PG (for thematic elements and some language)|127|20th Century Fox|Allison Schroeder, Ted Melfi|HIDDEN FIGURES is the incredible untold story of Katherine G. Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer) and Mary Jackson (Janelle Monáe)-brilliant African-American women working at NASA, who served as the brains behind one of the greatest operations in history: the launch of astronaut John Glenn into orbit, a stunning achievement that restored the nation's confidence, turned around the Space Race, and galvanized the world. The visionary trio crossed all gender and race lines to inspire generations to dream big.|7.6/10|289|269|20|7.8/10|39|38|1|4.4/5|57,897
771440866|Youth in Oregon|Joel David Moore|Comedy, Drama|Feb 3, 2017|Apr 4, 2017|NR|99|Samuel Goldwyn Films|Andrew Eisen|When 79-year-old curmudgeon Raymond (Frank Langella) makes arrangements to be euthanized in Oregon, his family refuses to accept his decision. But when another family emergency arises, Raymond's daughter Kate (Christina Applegate) turns to her husband Brian (Billy Crudup) for a little help. So Brian reluctantly volunteers to drive the cantankerous Raymond and his wine-loving wife Estelle (Mary Kay Place) three thousand miles to Oregon. Determined to change the old man's mind before they reach the Beaver State, it becomes quickly apparent to Brian that convincing your father-in-law to keep living when he's ready to check out is no simple task.|5.6/10|20|9|11|5/10|8|2|6|3.5/5|154
771443221|Toni Erdmann|Maren Ade|Art House & International, Drama|Dec 25, 2016|Apr 11, 2017|R (for strong sexual conetnt, graphic nudity, language and brief drug use)|162|Sony Pictures Classics|Maren Ade|"Winfried doesn't see much of his working daughter Ines. The suddenly student-less music teacher decides to surprise her with a visit after the death of his old dog. It's an awkward move because serious career woman Ines is working on an important project as a corporate strategist in Bucharest. The geographical change doesn't help the two to see more eye to eye. Practical joker Winfried loves to annoy his daughter with corny pranks. What's worse are his little jabs at her routine lifestyle of long meetings, hotel bars and performance reports. Father and daughter reach an impasse, and Winfried agrees to return home to Germany. Enter flashy ""Toni Erdmann"": Winfried's smooth-talking alter ego. Disguised in a tacky suit, weird wig and even weirder fake teeth, Toni barges into Ines' professional life, claiming to be her CEO's life coach. As Toni, Winfried is bolder and doesn't hold back, but Ines meets the challenge. The harder they push, the closer they become. In all the madness, Ines begins to understand that her eccentric father might deserve some place in her life after all."|8.3/10|220|205|15|8.4/10|32|30|2|3.7/5|6,182
771444105|We Go On|Andy Mitton, Jesse Holland (II)|Drama||Apr 4, 2017|NR|89||Andy Mitton|WE GO ON tells the story of one man's quest to find out if there is more out there after we die. Paralyzed by his fear of dying, Miles Grissom offers a cash reward to the first person who can show him a ghost, an angel, a demon anything that can prove that we go on after our deaths. He narrows the responses down to three viable candidates a scientist, a medium, and a worldly entrepreneur. Along with his fiercely protective mother, he embarks on an adventure that will spiral into an unthinkable nightmare.|7.5/10|6|6|0|||||3.2/5|137
771446839|Sandy Wexler|Steven Brill|Comedy||Apr 14, 2017|NR||Netflix|Paul Sado, Dan Bulla, Adam Sandler|Sandy Wexler (Adam Sandler) is a talent manager working in Los Angeles in the 1990s who diligently represents a group of eccentric clients on the fringes of show business. His single-minded devotion is put to the test when he falls in love with his newest client, Courtney Clarke (Academy Award (R) and Grammy (R) winner Jennifer Hudson), a tremendously talented singer who he discovers at an amusement park. The Netflix original film also stars Kevin James (True Memoirs of An International Assassin), Terry Crews (Brooklyn Nine-Nine, Ultimate Beastmaster), Lamorne Morris (New Girl), Nick Swardson (The Do-Over), Rob Schneider (Real Rob, Grown Ups), Jane Seymour (Wedding Crashers), Grammy (R) winner Aaron Neville, Arsenio Hall and more. The film is directed by Steven Brill (The Do-Over). Paul Sado, Dan Bulla and Adam Sandler wrote the script. Happy Madison Productions' Adam Sandler and Allen Covert serve as producers. Barry Bernardi and Tim Herlihy serve as executive producers.|4.1/10|22|6|16|5.6/10|6|3|3|2.9/5|851
771449070|Brimstone|Martin Koolhoven|Art House & International, Mystery & Suspense, Western|Mar 10, 2017|Apr 11, 2017|R (for brutal bloody violence, strong sexual content including disturbing behavior, graphic nudity, and language.)|148|N279 Entertainment|Martin Koolhoven|Wrongly accused of a crime she didn't commit, a frontier woman turned fugitive is hunted by a vengeful preacher in the menacing inferno of the old American West.|5/10|72|29|43|4.7/10|15|4|11|3.2/5|1,855
771449482|Carrie Pilby|Susan Johnson|Comedy|Mar 31, 2017|Apr 4, 2017|NR|98|Braveart Films|Kara Holden, Dean Craig|Pilby (Powley) is a genius who graduated Harvard at 18. Convinced that the world is populated by oversexed hypocrites, she has a hard time making sense of life as it relates to morality, relationships, sex and leaving her apartment. In an effort to coax Carrie out of her shell, her psychiatrist (Nathan Lane), makes a deceptively simple checklist of goals for her to achieve between Thanksgiving and the year's end. Each goal brings Carrie closer to the understanding that humans, like books, can't be judged by their covers. Produced by Suzanne Farwell, Susan Johnson, Susan Cartsonis, Brent Emery and Lisa Wolofsky, CARRIE PILBY was directed by Susan Johnson from a script by Kara Holden.|5.1/10|24|15|9|6/10|9|5|4|4/5|1,025
771450826|Don't Hang Up|Alexis Wajsbrot, Damien Macé|Horror|Feb 10, 2017|Apr 4, 2017|R (for disturbing violence, and language including sexual references)||Vertical Entertainment|Joe Johnson|An evening of drunken prank calls becomes a nightmare for a pair of teenagers when a mysterious stranger turns their own game against them.|3.9/10|16|4|12|||||2.7/5|611
771451952|SHOT!: The Psycho-Spiritual Mantra of Rock|Barnaby Clay|Documentary|Apr 7, 2017|Apr 7, 2017|NR|91|||SHOT! THE PSYCHO-SPIRITUAL MANTRA OF ROCK is an odyssey into the colorful and bohemian tales of rock 'n' roll's history. A cinematic adventure that delves deep into the mind of one of rock's greatest living photographers: Mick Rock. Through the poignant lens of rock 'n' roll mythology; icon-maker, psychedelic explorer, poet, and custodian of dreams Mick Rock navigates his story from the glam rock shimmer of London to the snarl of NYC punk, and deep into the new millennium. Mick turns inward to face himself and the experiences as the visual record-keeper of myths and legends that propelled him into a living icon in this rock n' roll comeback story. Mick's now infamous images of the likes of David Bowie, Queen, Syd Barrett (Founding member of Pink Floyd), Blondie, Lou Reed and Iggy Pop are now imprinted on our collective psyche forever and generations to come. Presented in his own words, juxtaposed with spellbinding images and exclusive never-seen or heard archival film footage, audio recordings and original material, this film reveals an enigmatic Rock and his adventurous life both behind the camera and as an integral member of the artist's entourage working with and shaping some of the most outrageous, recognized and accomplished musicians and personalities of the past forty years. An icon-maker, and icon in his own right, Rock is among a very few photographers who himself is photographed walking red carpets in Los Angeles, London, New York and around the globe.|7.3/10|17|16|1|6.3/10|6|5|1|3.4/5|150
