771421932|Contracted: Phase II|Josh Forbes|Drama, Horror, Mystery & Suspense|Sep 4, 2015|Jan 12, 2016|NR|79|IFC Midnight|Craig Walendziak|A sexually transmitted virus is ravaging LA and turning lovers into flesh-eating zombies and one man is in a race against time to stop it.|3.6/10|13|5|8|3.8/10|7|2|5|2.3/5|287
771430968|This Changes Everything|Avi Lewis|Documentary|Oct 2, 2015|Jan 15, 2016|NR|89|Klein Lewis Productions|Naomi Klein|Filmed over 211 shoot days in nine countries and five continents over four years, This Changes Everything is an epic attempt to re-imagine the vast challenge of climate change. Inspired by Naomi Klein's international non-fiction bestseller This Changes Everything, the film presents seven powerful portraits of communities on the front lines, from Montana's Powder River Basin to the Alberta Tar Sands, from the coast of South India to Beijing and beyond. Interwoven with these stories of struggle is Klein's narration, connecting the carbon in the air with the economic system that put it there. Throughout the film, Klein builds to her most controversial and exciting idea: that we can seize the existential crisis of climate change to transform our failed economic system into something radically better.|6.4/10|16|9|7|6.8/10|9|6|3|3.2/5|214
771431947|Rabid Dogs (Enragés)|Eric Hannezo|Action & Adventure|Jan 22, 2016|Jan 22, 2016|NR|94|Black Dynamite Films|Yannick Dahan, Eric Hannezo, Benjamin Rataud|Four violent criminals escaping a robbery take a man, an ailing child and a young woman on a nightmarish road trip in this remake of Mario Bava's near-lost Euro-crime nasty.|5.8/10|6|4|2|||||3.2/5|104
771435408|Sweaty Betty|Zachary Reed|Drama, Musical & Performing Arts|Jan 8, 2016|Jan 12, 2016|NR|94||Seth Dubois, Zachary Reed, Floyd Rich, Joseph Frank|In this improvised mumblecore drama, football fan Floyd (Floyd Rich) hatches a plan to raise a pig in his Washington, D.C., backyard and turn her into the Redskins' unofficial mascot. But his plans are thwarted by two down-on-their-luck buddies (Seth Dubois and Rico S.) who see their own opportunity in the pig.|7.3/10|8|7|1|||||2.7/5|82
10157|Rosencrantz and Guildenstern Are Dead|Tom Stoppard|Art House & International, Comedy, Drama|Feb 8, 1991|Jan 12, 2016|PG|118|Cinecom Pictures|Tom Stoppard|Based on Tom Stoppard's play, this erudite comedy rethinks Hamlet by telling the story of two of its least important characters. The duo debates the theory of probability, the nature of Hamlet's madness, and which of them is Rosencrantz and which Guildenstern while Shakespeare's tragedy plays out in the background.|6.1/10|29|18|11|2.1/10|6|0|6|4/5|17,197
770794589|Shanghai|Mikael Håfström|Drama, Mystery & Suspense, Romance|Oct 2, 2015|Jan 5, 2016|R (for strong violence, some drug use and brief language)|100|The Weinistein Company|Hossein Amini|This period drama concerns an American (John Cusack) in Shanghai who, through the investigation of the death of a friend, ends up falling in love while stumbling upon a political conspiracy. 1408 helmer Mikael Håfström directs. Gong Li and Ken Watanabe co-star in the production, from a script supplied by Hossein Amini. ~ Jeremy Wheeler, Rovi|4.3/10|24|1|23|4.7/10|11|0|11|3/5|4,409
771321495|Hotel Transylvania 2|Genndy Tartakovsky|Animation|Sep 25, 2015|Jan 12, 2016|PG (for some scary images, action and rude humor)|89|Sony Pictures|Robert Smigel, Adam Sandler|The hit CG-animated family comedy Hotel Transylvania gets a follow-up with this Sony Pictures Animation production.|5.3/10|105|58|47|4.2/10|23|7|16|3.7/5|89,652
771350024|The Green Inferno|Eli Roth|Horror, Mystery & Suspense|Sep 25, 2015|Jan 5, 2016|R (for aberrant violence and torture, grisly disturbing images, brief graphic nudity, sexual content, language and some drug use)|101|High Top Releasing|Eli Roth, Guillermo Amoedo|From acclaimed horror director, Eli Roth, THE GREEN INFERNO follows a group of student activists who travel from New York City to the Amazon to save the rainforest. However, once they arrive in this vast green landscape, they soon discover that they are not alone... and that no good deed goes unpunished. (C) Submarine|4.6/10|88|32|56|4.8/10|19|6|13|2.7/5|15,065
771363066|Hell & Back|Ross Shuman, Tom Gianas|Animation, Comedy|Oct 2, 2015|Jan 5, 2016|R (for pervasive strong crude and sexual content, language and some drug use)||Freestyle Releasing LLC.|Zeb Wells, Hugh Sterbakov, Tom Gianas|Remy, Augie and Curt have been best friends since birth. When they jokingly take a blood oath and break it, Curt is dragged to Hell to be sacrificed. The guys must risk everything to save their friend from a slew of misfit demons, Greek legends, and the Devil himself. Are they prepared? No, absolutely not. (C) Freestyle Releasing|2.5/10|5|0|5|||||2.7/5|1,699
771364241|Sleeping with Other People|Leslye Headland|Comedy|Sep 11, 2015|Jan 5, 2016|R (for strong sexual content, language including sexual references, and some drug use)|95|IFC Films|Leslye Headland|Jason Sudeikis and Alison Brie star as two romantic failures whose years of serial infidelity and self-sabotage have led them to swear that their relationship will remain strictly platonic. But can love still bloom while you're sleeping with other people? Writer/director Leslye Headland's (Bachelorette) sexy romantic comedy co-stars Amanda Peet, Adam Scott, and Natasha Lyonne. (C) IFC|6/10|128|81|47|6.2/10|33|21|12|3.4/5|8,691
